"No.","Time","Source","Destination","Protocol","Length","Info"
"1040","10.090511","10.12.14.191","52.114.158.50","TCP","54","53597  >  443 [ACK] Seq=15991 Ack=7433 Win=262144 Len=0"
"1041","10.121849","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WORKGROUP<1c>"
"1042","10.253812","fe80::f053:5c87:768b:d8e8","ff02::1:3","LLMNR","84","Standard query 0x7ef7 A wpad"
"1043","10.253839","fe80::f053:5c87:768b:d8e8","ff02::1:3","LLMNR","84","Standard query 0xd2e6 A wpad"
"1044","10.253922","fe80::f053:5c87:768b:d8e8","ff02::1:3","LLMNR","84","Standard query 0x1744 A wpad"
"1045","10.254120","10.12.14.191","224.0.0.252","LLMNR","64","Standard query 0x7ef7 A wpad"
"1046","10.254131","10.12.14.191","224.0.0.252","LLMNR","64","Standard query 0xd2e6 A wpad"
"1047","10.254237","10.12.14.191","224.0.0.252","LLMNR","64","Standard query 0x1744 A wpad"
"1048","10.288304","fe80::f053:5c87:768b:d8e8","ff02::1:3","LLMNR","84","Standard query 0x557a A wpad"
"1049","10.288818","10.12.14.191","224.0.0.252","LLMNR","64","Standard query 0x557a A wpad"
"1050","10.300788","fe80::f053:5c87:768b:d8e8","ff02::1:3","LLMNR","84","Standard query 0x568b A wpad"
"1051","10.300807","fe80::f053:5c87:768b:d8e8","ff02::1:3","LLMNR","84","Standard query 0xb50f A wpad"
"1052","10.300813","fe80::f053:5c87:768b:d8e8","ff02::1:3","LLMNR","84","Standard query 0x853b A wpad"
"1053","10.301037","10.12.14.191","224.0.0.252","LLMNR","64","Standard query 0x853b A wpad"
"1054","10.301259","10.12.14.191","224.0.0.252","LLMNR","64","Standard query 0xb50f A wpad"
"1055","10.301474","10.12.14.191","224.0.0.252","LLMNR","64","Standard query 0x568b A wpad"
"1056","10.372229","10.12.14.191","10.12.255.255","NBNS","92","Name query NB DESKTOP-KEQCOJS<1c>"
"1057","10.594209","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1058","10.594279","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1059","10.594321","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1060","10.625380","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1061","10.640584","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1062","10.640705","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1063","10.640779","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1064","10.843464","10.12.14.191","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"1065","10.843805","fe80::f053:5c87:768b:d8e8","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"1066","10.844138","10.12.14.191","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"1067","10.844363","fe80::f053:5c87:768b:d8e8","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"1068","10.844581","10.12.14.191","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"1069","10.844765","fe80::f053:5c87:768b:d8e8","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"1070","10.845001","10.12.14.191","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"1071","10.845258","fe80::f053:5c87:768b:d8e8","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"1072","10.845528","10.12.14.191","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"1073","10.845741","fe80::f053:5c87:768b:d8e8","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"1074","10.875335","10.12.14.191","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"1075","10.875554","fe80::f053:5c87:768b:d8e8","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"1076","10.875827","10.12.14.191","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"1077","10.875994","fe80::f053:5c87:768b:d8e8","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"1078","10.890329","10.12.14.191","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"1079","10.890560","fe80::f053:5c87:768b:d8e8","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"1080","10.890792","10.12.14.191","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
